name,counta,money,totalPerformances,type,theatre
Les Miserables,365,171395852,2907,Musical,Imperial
Les Miserables '14,129,105089275,1000,Musical,Imperial
Les Miserables 2006,61,35140652,463,Musical,Broadhurst
Lestat,10,4630419,39,Musical,Palace
Let It Be,7,2535797,46,Special,St. James
Life X 3,16,4570880,104,Play,Circle In The Square
Little Me,18,3266231,99,Musical,Criterion
Little Shop Of Horrors,52,20607589,372,Musical,Virginia
Little Women,24,9793281,137,Musical,Virginia
Living On Love,5,811148,16,Play,Longacre
Liza'S At The Palace,5,3059851,22,Special,Palace
Lombardi,35,9313391,244,Play,Circle In The Square
London Assurance,11,1493967,72,Play,Criterion
Long Day'S Journey Into Night 03,19,11333178,117,Play,Plymouth
Long Day'S Journey Into Night 2016,13,5153917,61,Play,American Airlines
Looped,8,1262525,33,Play,Lyceum
Lord Of The Dance: Dangerous Games,9,3616869,67,Special,Lyric
Losing Louie,10,1548011,53,Play,Biltmore
Love / Life,5,280480,8,Special,Vivian Beaumont
Love Letters 2014,14,4124389,95,Play,Brooks Atkinson
Love Thy Neighbor,41,3856374,234,Play,Booth
Love! Valour! Compassion!,1,120573,8,Play,Walter Kerr
Lovemusik,11,2494723,60,Musical,Biltmore
Lucky Guy,19,22992145,104,Play,Broadhurst
Lysistrata Jones,9,1391172,30,Musical,Walter Kerr
Ma Rainey'S Black Bottom '03,11,2427214,68,Play,Royale
Macbeth '13,15,5202863,73,Play,Ethel Barrymore
Macbeth '13 (Lct),12,4251441,60,Play,Vivian Beaumont
Macbeth 00,3,489308,13,Play,Music Box
Macbeth 08,9,4105572,52,Play,Lyceum
Machinal,11,2123256,52,Play,American Airlines
Magic/Bird,8,1136102,37,Play,Longacre
Major Barbara,14,3217456,74,Play,American Airlines
Mamma Mia!,725,624391693,5758,Musical,Winter Garden
Man And Boy,12,3095607,57,Play,American Airlines
Man Of La Mancha 02,41,22483426,304,Musical,Martin Beck
Mandy Patinkin,4,563627,16,Special,Lyceum
Mandy Patinkin In Concert: Mamaloshen,4,726465,28,Special,Belasco
Manilow On Broadway,6,4160716,25,Special,St. James
Marc Salem'S Mind Games,24,287897,30,Special,Lyceum
Marie Christine,11,2982095,42,Musical,Vivian Beaumont
Mark Twain Tonight!,3,617468,15,Play,Brooks Atkinson
Marlene,5,681313,25,Musical,Cort
Martin Short: Fame Becomes Me,24,10842526,165,Musical,Jacobs
Mary Poppins,334,294558648,2619,Musical,New Amsterdam
Mary Stuart,20,6088106,137,Play,Broadhurst
Master Class,61,9350941,413,Play,Golden
Master Class '11,12,3244777,67,Play,Friedman
Master Harold�And The Boys,10,2276295,49,Play,Royale
Match,11,2333156,53,Play,Plymouth
Matilda,180,180252576,1394,Musical,Shubert
Matters Of The Heart,10,628230,11,Special,Vivian Beaumont
Mauritius,11,2293948,61,Play,Biltmore
Medea 02,12,2454181,78,Play,Brooks Atkinson
Memphis,150,104453840,1165,Musical,Shubert
"Men Are From Mars, Women Are From Venus",1,358316,7,Special,Gershwin
Metamorphoses,52,10455094,400,Play,Circle In The Square
Mike Tyson: Undisputed Truth,2,1204618,10,Special,Longacre
Million Dollar Quartet,66,28585196,489,Musical,Nederlander
Minnelli On Minnelli,5,2549836,20,Special,Palace
Misery,17,12518415,102,Play,Broadhurst
Miss Saigon,489,272191859,3885,Musical,Broadway
Monty Python'S Spamalot,202,168067350,1575,Musical,Shubert
Moon Over Buffalo,16,4904023,101,Play,Martin Beck
More To Love: A Big Fat Comedy,3,247279,5,Play,Eugene O'Neill
"Morning, Noon And Night",11,504719,12,Special,Vivian Beaumont
Morning'S At Seven,18,2766340,112,Play,Lyceum
Mothers And Sons,18,3558406,104,Play,Golden
Motown The Musical,97,115002552,738,Musical,Lunt-Fontanne
Motown The Musical 2016,3,1496081,24,Musical,Nederlander
Movin' Out,167,99919701,1303,Musical,Richard Rodgers
Mrs. Warren'S Profession,13,2917482,65,Play,American Airlines
Never Gonna Dance,16,6287836,84,Musical,Broadhurst
Newsies,128,109000717,1004,Musical,Nederlander
Next Fall,20,3056830,132,Play,Helen Hayes
Next To Normal,95,31764486,733,Musical,Booth
Nice Work If You Can Get It,64,51461746,478,Musical,Imperial
Night Mother,10,1700078,57,Play,Royale
Night Must Fall,20,2927757,119,Play,Lyceum
Nine,39,24448759,283,Musical,Eugene O'Neill
No Man'S Land/Waiting For Godot,23,14346510,145,Play,Cort
Noises Off '01,46,14678125,348,Play,Brooks Atkinson
Noises Off 2016,13,5339351,67,Play,American Airlines
Not About Nightingales,18,2465086,125,Play,Circle In The Square
November,30,11194646,205,Play,Ethel Barrymore
Of Mice And Men,19,15938704,118,Play,Longacre
Oklahoma!,53,34961595,388,Musical,Gershwin
Old Acquaintance,12,1809462,61,Play,American Airlines
Old Times,11,4039575,64,Play,American Airlines
Oldest Living Confederate Widow Tells All,4,225202,1,Play,Longacre
Oleanna,10,2177335,65,Play,Golden
On A Clear Day You Can See Forever,12,7253179,57,Musical,St. James
On Golden Pond,14,2947551,93,Play,Cort
On The Town,13,5236292,69,Musical,Gershwin
On The Town 2014,51,30840328,368,Musical,Lyric
On The Twentieth Century,23,11298280,144,Musical,American Airlines
On Your Feet!,45,44153666,322,Musical,Marquis
Once,149,110306780,1168,Musical,Jacobs
Once Upon A Mattress,28,7991729,188,Musical,Broadhurst
One Flew Over The Cuckoo'S Nest,20,6477718,121,Play,Royale
"One Man, Two Guvnors",22,13071416,159,Play,Music Box
One Mo' Time,5,514302,21,Musical,Longacre
Orphans,8,4056117,37,Play,Schoenfeld
Other Desert Cities,36,14799861,261,Play,Booth
Our Mother'S Brief Affair,10,1727741,53,Play,Friedman
Our Town 02,10,3757006,59,Play,Booth
Outside Mullingar,11,3351777,61,Play,Friedman
Pacific Overtures,12,3770036,69,Musical,Studio 54
Pal Joey,16,5574587,85,Musical,Studio 54
Parade,16,4349262,85,Musical,Vivian Beaumont
Paramour,18,16566410,94,Musical,Lyric
Passing Strange,24,5161374,165,Musical,Belasco
Patti Labelle On Broadway,2,989597,12,Special,St. James
Patti Lupone On Broadway,1,83374,0,Special,Walter Kerr
Penn & Teller On Broadway,6,7820655,41,Special,Marquis
Peter And The Starcatcher,43,17698854,319,Play,Brooks Atkinson
Peter Pan 98,28,13806567,214,Musical,Marquis
Picnic '12,11,2409844,49,Play,American Airlines
Pippin,94,68840074,709,Musical,Music Box
Play On!,10,1402692,61,Musical,Brooks Atkinson
Porgy And Bess '11,41,26381453,293,Musical,Richard Rodgers
Prelude To A Kiss 2007,11,1786550,61,Play,American Airlines
Present Laughter,26,4334972,175,Play,Walter Kerr
Present Laughter '10,12,3071438,69,Play,American Airlines
Primo,6,1952699,35,Play,Music Box
Priscilla Queen Of The Desert,69,48763901,526,Musical,Palace
